170 64 74 32
0 64 -0.36 0 1
0 65 -0.68 1 1
0 66 -0.46 2 1
0 67 -0.9 3 1
0 68 -0.24 4 1
0 69 -0.46 5 1
0 70 0.42 6 1
0 71 0.9 7 1
0 72 -0.8 8 1
0 73 0.96 9 1
0 74 0.04 10 1
0 75 -0.0600000000000001 11 1
0 76 0.76 12 1
0 77 -0.94 13 1
0 78 0.3 14 1
0 79 -0.82 15 1
0 80 -0.22 16 1
0 81 0.22 17 1
0 82 0.34 18 1
0 83 0.98 19 1
0 84 -0.98 20 1
0 85 -0.94 21 1
0 86 -0.56 22 1
0 87 -0.5 23 1
0 88 0.24 24 1
0 89 0.58 25 1
0 90 -0.52 26 1
0 91 0.5 27 1
0 92 -0.84 28 1
0 93 0.18 29 1
0 94 -0.7 30 1
0 95 -0.38 31 1
0 96 -0.38 32 1
0 97 0.8 33 1
0 98 -0.14 34 1
0 99 -0.36 35 1
0 100 -0.88 36 1
0 101 -0.0600000000000001 37 1
0 102 0.34 38 1
0 103 0.84 39 1
1 64 -0.82 40 1
1 65 -0.3 41 1
1 66 0.76 42 1
1 67 0.26 43 1
1 68 0.38 44 1
1 69 -0.42 45 1
1 70 -0.74 46 1
1 71 0.54 47 1
1 72 -0.62 48 1
1 73 -0.34 49 1
1 74 0.84 50 1
1 75 -0.26 51 1
1 76 -0.08 52 1
1 77 0.38 53 1
1 78 0.24 54 1
1 79 -0.0600000000000001 55 1
1 80 0.6 56 1
1 81 -0.6 57 1
1 82 0.0 58 1
1 83 0.86 59 1
1 84 0.88 60 1
1 85 0.5 61 1
1 86 -0.42 62 1
1 87 0.8 63 1
1 88 -0.84 64 1
1 89 0.92 65 1
1 90 -0.26 66 1
1 91 -0.84 67 1
1 92 -0.94 68 1
1 93 -0.64 69 1
1 94 -0.74 70 1
1 95 0.76 71 1
1 96 0.8 72 1
1 97 -0.84 73 1
1 98 0.82 74 1
1 99 -0.96 75 1
1 100 -0.28 76 1
1 101 -0.84 77 1
1 102 0.98 78 1
1 103 -0.4 79 1
2 64 0.38 80 1
2 65 -0.16 81 1
2 66 0.92 82 1
2 67 0.18 83 1
2 68 0.78 84 1
2 69 -0.6 85 1
2 70 0.46 86 1
2 71 0.78 87 1
2 72 -0.92 88 1
2 73 0.42 89 1
2 74 -0.76 90 1
2 75 -0.64 91 1
2 76 0.76 92 1
2 77 -0.2 93 1
2 78 0.88 94 1
2 79 0.04 95 1
2 80 -0.12 96 1
2 81 -0.22 97 1
2 82 0.44 98 1
2 83 0.34 99 1
2 84 0.92 100 1
2 85 -0.52 101 1
2 86 0.88 102 1
2 87 -0.88 103 1
2 88 0.8 104 1
2 89 -0.46 105 1
2 90 -0.42 106 1
2 91 -0.66 107 1
2 92 0.2 108 1
2 93 -0.58 109 1
2 94 -0.6 110 1
2 95 -0.84 111 1
2 96 0.3 112 1
2 97 -0.18 113 1
2 98 -0.7 114 1
2 99 0.4 115 1
2 100 -0.22 116 1
2 101 0.2 117 1
2 102 -0.48 118 1
2 103 0.28 119 1
3 64 0.0 120 1
3 65 0.26 121 1
3 66 0.46 122 1
3 67 -0.04 123 1
3 68 -0.16 124 1
3 69 0.6 125 1
3 70 0.28 126 1
3 71 0.3 127 1
3 72 0.16 128 1
3 73 -0.02 129 1
3 74 -0.82 130 1
3 75 -0.48 131 1
3 76 -0.8 132 1
3 77 -0.54 133 1
3 78 -0.18 134 1
3 79 -0.6 135 1
3 80 -0.46 136 1
3 81 0.14 137 1
3 82 0.1 138 1
3 83 -0.34 139 1
3 84 -0.94 140 1
3 85 0.4 141 1
3 86 0.82 142 1
3 87 0.3 143 1
3 88 -0.64 144 1
3 89 -0.64 145 1
3 90 -0.46 146 1
3 91 -0.62 147 1
3 92 0.18 148 1
3 93 -0.58 149 1
3 94 -0.7 150 1
3 95 0.92 151 1
3 96 -0.28 152 1
3 97 -0.54 153 1
3 98 0.98 154 1
3 99 -0.68 155 1
3 100 0.78 156 1
3 101 0.56 157 1
3 102 0.96 158 1
3 103 -0.8 159 1
4 64 -0.72 160 1
4 65 -0.62 161 1
4 66 0.26 162 1
4 67 -0.0600000000000001 163 1
4 68 0.12 164 1
4 69 0.56 165 1
4 70 -0.26 166 1
4 71 -0.88 167 1
4 72 0.92 168 1
4 73 0.44 169 1
4 74 -0.14 170 1
4 75 0.42 171 1
4 76 0.88 172 1
4 77 -0.18 173 1
4 78 0.18 174 1
4 79 -0.7 175 1
4 80 0.04 176 1
4 81 0.14 177 1
4 82 -0.64 178 1
4 83 -0.3 179 1
4 84 -0.88 180 1
4 85 0.74 181 1
4 86 0.86 182 1
4 87 -0.08 183 1
4 88 -0.32 184 1
4 89 -0.92 185 1
4 90 0.8 186 1
4 91 -0.76 187 1
4 92 0.92 188 1
4 93 0.6 189 1
4 94 0.88 190 1
